CRN,SUBJ,CRSE,TITLE,DAYS,START TIME,END TIME,BLDG,ROOM,INSTRUCTOR,START DATE,END DATE,WEEKS,SEATS LEFT,STATUS
57793,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"WEBB, H",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
61311,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"VERA, S",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
68237,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"WEBB, H",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
86607,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"LOEDEL, D",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
52222,ACCT,116A,FINANCIAL ACCOUNTING,MW,10:00 AM,11:50 AM,MIRA,M106,"VIERSEN, A",8/19/2013,12/16/2013,16,0,ADD CODE REQUIRED
75268,ACCT,116A,FINANCIAL ACCOUNTING,TTH,1:15 PM,3:05 PM,MIRA,M106,"VOYLES, A",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
61333,ACCT,116A,FINANCIAL ACCOUNTING,W,5:30 PM,9:10 PM,MIRA,M106,"SCHILDHOUSE, R",8/19/2013,10/12/2013,8,8,PAST ADD DATE
61333,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,,8/19/2013,10/12/2013,8,8,PAST ADD DATE
43567,ACCT,116A,FINANCIAL ACCOUNTING,T,6:35 PM,9:45 PM,MIRA,M106,"VIERSEN, A",9/17/2013,12/16/2013,12,0,CLOSED MAY WAITLIST
43567,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"SCHILDHOUSE, R",9/17/2013,12/16/2013,12,0,CLOSED MAY WAITLIST
55518,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"VIERSEN, A",8/19/2013,12/16/2013,16,1,ADD CODE REQUIRED
61404,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"VIERSEN, A",8/19/2013,12/16/2013,16,3,ADD CODE REQUIRED
